correct	correct_response	count_exp_sequence	leksikalnost	rec	response	response_time	trial_number	naziv_fajla	exp_title	accuracy
1	1	137	rec	SELJAČKOG	1	970	75	subject-3.csv	PRIDEVI_C	94.9275362319
1	1	138	rec	PROKLETOG	1	832	69	subject-3.csv	PRIDEVI_C	94.964028777
1	1	139	rec	RODNOJ	1	620	74	subject-3.csv	PRIDEVI_C	95
1	1	140	rec	SLOBODNOG	1	606	81	subject-3.csv	PRIDEVI_C	95.0354609929
1	1	141	rec	BESKRAJNOJ	1	1442	2	subject-3.csv	PRIDEVI_C	95.0704225352
1	3	142	pseudorec	GANKOJ	3	649	204	subject-3.csv	PRIDEVI_C	95.1048951049
1	1	143	rec	ČUDNOG	1	647	9	subject-3.csv	PRIDEVI_C	95.1388888889
1	1	144	rec	PRLJAVOJ	1	664	68	subject-3.csv	PRIDEVI_C	95.1724137931
1	1	145	rec	ŽALOSNOJ	1	880	101	subject-3.csv	PRIDEVI_C	95.2054794521
1	1	146	rec	STALNOM	1	1460	85	subject-3.csv	PRIDEVI_C	95.2380952381
1	1	147	rec	ŠUMSKOM	1	675	88	subject-3.csv	PRIDEVI_C	95.2702702703
1	3	148	pseudorec	ŠODNOM	3	666	160	subject-3.csv	PRIDEVI_C	95.3020134228
1	3	149	pseudorec	KILENOM	3	707	159	subject-3.csv	PRIDEVI_C	95.3333333333
1	3	150	pseudorec	RIZANOM	3	478	143	subject-3.csv	PRIDEVI_C	95.3642384106
1	3	151	pseudorec	NORNOM	3	497	162	subject-3.csv	PRIDEVI_C	95.3947368421
1	1	152	rec	SEVERNOM	1	869	76	subject-3.csv	PRIDEVI_C	95.4248366013
1	3	153	pseudorec	GLOMNOM	3	677	154	subject-3.csv	PRIDEVI_C	95.4545454545
1	3	154	pseudorec	NIROVOJ	3	620	195	subject-3.csv	PRIDEVI_C	95.4838709677
1	3	155	pseudorec	PIKANOG	3	633	125	subject-3.csv	PRIDEVI_C	95.5128205128
1	1	156	rec	GORKOJ	1	627	20	subject-3.csv	PRIDEVI_C	95.5414012739
1	3	157	pseudorec	LJITKOM	3	786	173	subject-3.csv	PRIDEVI_C	95.5696202532
1	1	158	rec	TUŽNOM	1	483	94	subject-3.csv	PRIDEVI_C	95.5974842767
1	3	159	pseudorec	ČUPAKOM	3	819	167	subject-3.csv	PRIDEVI_C	95.625
1	3	160	pseudorec	STROSOM	3	560	176	subject-3.csv	PRIDEVI_C	95.652173913
1	3	161	pseudorec	PEFENOM	3	632	170	subject-3.csv	PRIDEVI_C	95.6790123457
1	3	162	pseudorec	MRGAVOM	3	545	163	subject-3.csv	PRIDEVI_C	95.7055214724
1	1	163	rec	NEMIRNOJ	1	630	47	subject-3.csv	PRIDEVI_C	95.7317073171
0	1	164	rec	GLAVNOM	3	776	19	subject-3.csv	PRIDEVI_C	95.1515151515
1	1	165	rec	ŠIROKOJ	1	617	77	subject-3.csv	PRIDEVI_C	95.1807228916
1	3	166	pseudorec	DEMITOM	3	502	168	subject-3.csv	PRIDEVI_C	95.2095808383
1	1	167	rec	GORSKOG	1	610	21	subject-3.csv	PRIDEVI_C	95.2380952381
1	3	168	pseudorec	NUSIVOG	3	542	138	subject-3.csv	PRIDEVI_C	95.2662721893
1	3	169	pseudorec	RIJENOG	3	773	120	subject-3.csv	PRIDEVI_C	95.2941176471
1	3	170	pseudorec	PLOSTOM	3	481	164	subject-3.csv	PRIDEVI_C	95.3216374269
1	1	171	rec	RADOSNOM	1	632	70	subject-3.csv	PRIDEVI_C	95.3488372093
1	3	172	pseudorec	CUKAVOJ	3	538	181	subject-3.csv	PRIDEVI_C	95.3757225434
1	1	173	rec	RATNOG	1	691	72	subject-3.csv	PRIDEVI_C	95.4022988506
1	3	174	pseudorec	KESANOM	3	565	145	subject-3.csv	PRIDEVI_C	95.4285714286
1	1	175	rec	LIČNOG	1	554	33	subject-3.csv	PRIDEVI_C	95.4545454545
1	1	176	rec	GUSTOJ	1	812	23	subject-3.csv	PRIDEVI_C	95.4802259887
1	1	177	rec	ODLIČNOJ	1	544	56	subject-3.csv	PRIDEVI_C	95.5056179775
1	1	178	rec	DESNOM	1	613	13	subject-3.csv	PRIDEVI_C	95.530726257
1	1	179	rec	MASOVNOG	1	932	36	subject-3.csv	PRIDEVI_C	95.5555555556
1	1	180	rec	NEPOZNATOG	1	566	48	subject-3.csv	PRIDEVI_C	95.5801104972
1	3	181	pseudorec	NECNOJ	3	747	177	subject-3.csv	PRIDEVI_C	95.6043956044
1	1	182	rec	MUTNOG	1	596	42	subject-3.csv	PRIDEVI_C	95.6284153005
1	1	183	rec	BOLESNOM	1	486	4	subject-3.csv	PRIDEVI_C	95.652173913
1	1	184	rec	PRIVREDNOM	1	811	67	subject-3.csv	PRIDEVI_C	95.6756756757
1	1	185	rec	SLAVNOM	1	570	79	subject-3.csv	PRIDEVI_C	95.6989247312
1	1	186	rec	VLAŽNOG	1	849	99	subject-3.csv	PRIDEVI_C	95.7219251337
1	3	187	pseudorec	SIRANOG	3	556	129	subject-3.csv	PRIDEVI_C	95.7446808511
1	3	188	pseudorec	RISOKOM	3	671	149	subject-3.csv	PRIDEVI_C	95.7671957672
1	1	189	rec	DUBOKOM	1	541	16	subject-3.csv	PRIDEVI_C	95.7894736842
1	3	190	pseudorec	LOZANOG	3	779	137	subject-3.csv	PRIDEVI_C	95.8115183246
1	1	191	rec	SPORTSKOJ	1	761	83	subject-3.csv	PRIDEVI_C	95.8333333333
1	3	192	pseudorec	DORANOG	3	467	110	subject-3.csv	PRIDEVI_C	95.8549222798
1	3	193	pseudorec	VILAVOM	3	529	165	subject-3.csv	PRIDEVI_C	95.8762886598
1	1	194	rec	ČITAVOJ	1	601	8	subject-3.csv	PRIDEVI_C	95.8974358974
1	1	195	rec	JAKOG	1	634	24	subject-3.csv	PRIDEVI_C	95.9183673469
1	1	196	rec	NEŽNOG	1	458	51	subject-3.csv	PRIDEVI_C	95.9390862944
1	1	197	rec	NEVINOJ	1	752	50	subject-3.csv	PRIDEVI_C	95.9595959596
1	3	198	pseudorec	MILATOG	3	514	131	subject-3.csv	PRIDEVI_C	95.9798994975
1	1	199	rec	ŽIVOTNOJ	1	562	104	subject-3.csv	PRIDEVI_C	96
1	1	200	rec	VAŽNOM	1	501	97	subject-3.csv	PRIDEVI_C	96.0199004975
1	3	201	pseudorec	BLUGAVOJ	3	811	193	subject-3.csv	PRIDEVI_C	96.0396039604
1	3	202	pseudorec	VETANOG	3	537	124	subject-3.csv	PRIDEVI_C	96.0591133005
1	3	203	pseudorec	MORNOM	3	930	151	subject-3.csv	PRIDEVI_C	96.0784313725
1	1	204	rec	PLEMENITOG	1	798	60	subject-3.csv	PRIDEVI_C	96.0975609756
1	3	205	pseudorec	NOLENOG	3	507	112	subject-3.csv	PRIDEVI_C	96.1165048544
1	1	206	rec	TANKOJ	1	594	92	subject-3.csv	PRIDEVI_C	96.1352657005
1	1	207	rec	LAŽNOJ	1	544	32	subject-3.csv	PRIDEVI_C	96.1538461538
